876228;5mm|120 x 80;0;0
492899;5mm|120 x 90;0;0
709111;5mm|1200 x 300;1200;300
926244;5mm|1200 x 400;1200;400
510837;5mm|1200 x 500;1200;500
433329;5mm|130 x 28;130;28
813403;5mm|130 x 50;0;0
585993;5mm|140 x 100;0;0
873949;5mm|140 x 105;0;0
801847;5mm|140 x 140;0;0
294454;5mm|140 x 50;0;0
928274;5mm|150 x 10;150;10
218523;5mm|150 x 100;150;100
985245;5mm|150 x 150;150;150
621394;5mm|150 x 37;150;37
916465;5mm|150 x 38;150;38
251630;5mm|150 x 50;150;50
834398;5mm|150x 83;150;83
454042;5mm|170 x 60;0;0
552335;5mm|180 x 135;0;0
398466;5mm|180 x 60;0;0
473106;5mm|182 x 39;182;39
832982;5mm|200 x 120;0;0
295345;5mm|200 x 133;0;0
651816;5mm|200 x 140;0;0
481899;5mm|200 x 150;0;0
937750;5mm|200 x 200;200;200
640377;5mm|200 x 60;0;0
874169;5mm|200 x 80;0;0
423297;5mm|210 x 115;210;115
132682;5mm|210 x 140;210;140
975968;5mm|210 x 210;210;210
480247;5mm|210 x 53;210;53
241236;5mm|210 X 70;210;70
423993;5mm|220 x 80;0;0
732945;5mm|250 x 100;0;0
773576;5mm|250 x 166;0;0
125067;5mm|250 x 190;0;0
226587;5mm|250 x 250;250;250
821324;5mm|250 x 400;0;0
917083;5mm|250 x 80;0;0
289270;5mm|260 x 55;260;55
732308;5mm|280 x 65;0;0
912304;5mm|294x 420;0;0
427632;5mm|30 x 20;0;0
345529;5mm|300 x 100;300;100
255601;5mm|300 x 120;0;0
505868;5mm|300 x 150;0;0
313308;5mm|300 x 166;300;166
906419;5mm|300 x 200;300;200
403756;5mm|300 x 300;300;300
244920;5mm|300 x 75;0;0
333949;5mm|300 x 75;300;75
263625;5mm|350 x 350;350;350
619907;5mm|364 x77;364;77
853256;5mm|40 x 15;0;0
469900;5mm|400 x 300;400;300
333846;5mm|400 x 400;400;400
682314;5mm|400 x 640;0;0
199031;5mm|420 x 105;420;105
340170;5mm|420 x 231;420;231
550529;5mm|420 x 280;420;280
